MouseID,time,pregnancy,trimester,Diet,sex,week,Well,Study,Genotype,dex
7863,13,yes,3,NCD,female,,A1,IR,WT,no
7862,13,yes,3,NCD,female,,A2,IR,WT,no
7834,13,yes,3,NCD,female,,A3,IR,WT,no
7822,13,yes,3,NCD,female,,A4,IR,WT,no
7842,13,yes,3,NCD,female,,A5,IR,WT,no
7829,1,no,3,NCD,female,,A6,IR,WT,no
7827,13,no,3,NCD,female,,A7,IR,WT,no
7841,13,yes,3,NCD,female,,A8,IR,WT,no
7843,13,yes,3,NCD,female,,A9,IR,WT,no
7864,13,no,3,NCD,female,,A10,IR,WT,no
7835,13,no,3,NCD,female,,A11,IR,WT,no
7829,13,no,3,NCD,female,,A12,IR,WT,no
7832,13,yes,3,NCD,female,,B1,IR,WT,yes
7839,13,yes,3,NCD,female,,B2,IR,WT,yes
7837,13,yes,3,NCD,female,,B3,IR,WT,yes
7840,13,yes,3,NCD,female,,B4,IR,WT,yes
7828,13,yes,3,NCD,female,,B5,IR,WT,yes
7828,1,yes,3,NCD,female,,B6,IR,WT,yes
7826,1,no,3,NCD,female,,B7,IR,WT,no
7838,13,yes,3,NCD,female,,B8,IR,WT,no
7830,1,no,3,NCD,female,,B9,IR,WT,no
7838,1,yes,3,NCD,female,,B10,IR,WT,no
7841,1,yes,3,NCD,female,,B11,IR,WT,no
7864,1,no,3,NCD,female,,B12,IR,WT,no
7833,1,no,3,NCD,female,,C1,IR,WT,no
7822,1,yes,3,NCD,female,,C2,IR,WT,no
7839,1,yes,3,NCD,female,,C3,IR,WT,yes
7840,1,yes,3,NCD,female,,C4,IR,WT,yes
7832,1,yes,3,NCD,female,,C5,IR,WT,yes
7842,1,yes,3,NCD,female,,C6,IR,WT,yes
7827,1,no,3,NCD,female,,C7,IR,WT,no
7834,1,yes,1,AL,female,,C8,TRF,WT,no
7843,1,yes,2,AL,female,,C9,TRF,WT,no
7827,1,yes,3,AL,female,,C10,TRF,WT,no
7864,1,yes,3,eTRF,female,,C11,TRF,WT,no
7829,1,yes,3,AL,female,,C12,TRF,WT,no
7826,1,yes,3,eTRF,female,,D1,TRF,WT,no
7835,1,yes,2,eTRF,female,,D2,TRF,WT,no
7830,1,yes,3,AL,female,,D3,TRF,WT,no
7814,1,no,,eTRF,male,,D4,TRF,WT,no
7813,1,no,,eTRF,male,,D5,TRF,WT,no
7809,1,no,,eTRF,male,,D6,TRF,WT,no
7865,1,no,,AL,male,,D7,TRF,WT,no
7816,1,no,,eTRF,male,,D8,TRF,WT,no
7820,1,no,,AL,male,,D9,TRF,WT,no
7812,1,no,,AL,male,,D10,TRF,WT,no
7863,1,yes,1,AL,female,,D11,TRF,WT,no
7838,1,yes,1,eTRF,female,,D12,TRF,WT,no
7841,1,yes,1,eTRF,female,,E1,TRF,WT,no
7833,1,yes,3,AL,female,,E2,TRF,WT,no
7822,1,yes,1,eTRF,female,,E3,TRF,WT,no
7862,1,yes,2,eTRF,female,,E4,TRF,WT,no
7834,13,yes,1,AL,female,,E5,TRF,WT,no
7843,13,yes,2,AL,female,,E6,TRF,WT,no
7827,13,yes,3,AL,female,,E7,TRF,WT,no
7864,13,yes,3,eTRF,female,,E8,TRF,WT,no
7829,13,yes,3,AL,female,,E9,TRF,WT,no
7826,13,yes,3,eTRF,female,,E10,TRF,WT,no
7835,13,yes,2,eTRF,female,,E11,TRF,WT,no
7830,13,yes,3,eTRF,female,,E12,TRF,WT,no
7814,13,no,,eTRF,male,,F1,TRF,WT,no
7813,13,no,,eTRF,male,,F2,TRF,WT,no
7809,13,no,,eTRF,male,,F3,TRF,WT,no
7865,13,no,,AL,male,,F4,TRF,WT,no
7816,13,no,,eTRF,male,,F5,TRF,WT,no
7820,13,no,,AL,male,,F6,TRF,WT,no
7812,13,no,,AL,male,,F7,TRF,WT,no
7863,13,yes,1,AL,female,,F8,TRF,WT,no
7838,13,yes,1,eTRF,female,,F9,TRF,WT,no
7841,13,yes,1,eTRF,female,,F10,TRF,WT,no
7833,13,yes,3,AL,female,,F11,TRF,WT,no
7822,13,yes,1,eTRF,female,,F12,TRF,WT,no
7862,13,yes,2,eTRF,female,,G1,TRF,WT,no
8063,14,no,,CD,male,4,G2,AJ,WT,no
8064,14,no,,CD,male,4,G3,AJ,WT,no
8065,14,no,,CD,male,4,G4,AJ,WT,no
8066,14,no,,KD,male,4,G5,AJ,WT,no
8088,14,no,,KD,male,4,G6,AJ,WT,no
8069,14,no,,KD,male,4,G7,AJ,WT,no
8070,14,no,,KD,male,4,G8,AJ,WT,no
8071,14,no,,KD,male,4,G9,AJ,WT,no
8074,14,no,,KD,male,4,G10,AJ,WT,no
8468,14,no,,KD,male,4,G11,TSC,KO,no
8469,14,no,,KD,male,4,G12,TSC,KO,no
8611,14,no,,KD,male,4,H1,TSC,KO,no
8631,14,no,,KD,male,4,H2,TSC,WT,no
8632,14,no,,KD,male,4,H3,TSC,WT,no